pubmed_id,pubdate,drug,drug_entity_type,food,food_entity_type,food_component,food_component_entity_type,interaction_sentence,evidence_level,modality,drug_metabolizer,drug_transporter,well_known_target
28992471,2017,l-NAME,drug,Parkia speciosa,food,,,"Parkia speciosa extract and nicardipine treatments had significantly prevented the elevations of blood pressure, angiotensin-converting enzyme, NADPH oxidase activities and lipid peroxidation in the heart induced by the l-NAME.",animal in-vivo,positive,,,NADPH oxidase; angiotensin-converting enzyme
28992471,2017,N(G)-nitro-l-arginine methyl ester,drug,Parkia speciosa,food,,,"Parkia speciosa extract and nicardipine treatments had significantly prevented the elevations of blood pressure, angiotensin-converting enzyme, NADPH oxidase activities and lipid peroxidation in the heart induced by the l-NAME.",animal in-vivo,positive,,,NADPH oxidase; angiotensin-converting enzyme
28992471,2017,nicardipine,drug,Parkia speciosa,food,,,"Parkia speciosa extract and nicardipine treatments had significantly prevented the elevations of blood pressure, angiotensin-converting enzyme, NADPH oxidase activities and lipid peroxidation in the heart induced by the l-NAME.",animal in-vivo,positive,,,NADPH oxidase; angiotensin-converting enzyme
18175944,2008,acetylcholine,drug,Ginkgo biloba extract,food,,,"Furthermore, GBE feeding did not affect contractile response to phenylephrine, relaxation responses to not only sodium nitroprusside but also acetylcholine, and protein levels of endothelium nitric oxide synthase and soluble guanylate cyclase in aortas of aged SHR",animal in-vivo,positive,,,guanylate cyclase; nitric oxide synthase
18175944,2008,acetylcholine,drug,GBE,food,,,"Furthermore, GBE feeding did not affect contractile response to phenylephrine, relaxation responses to not only sodium nitroprusside but also acetylcholine, and protein levels of endothelium nitric oxide synthase and soluble guanylate cyclase in aortas of aged SHR",animal in-vivo,positive,,,guanylate cyclase; nitric oxide synthase
18175944,2008,sodium nitroprusside,drug,Ginkgo biloba extract,food,,,"Furthermore, GBE feeding did not affect contractile response to phenylephrine, relaxation responses to not only sodium nitroprusside but also acetylcholine, and protein levels of endothelium nitric oxide synthase and soluble guanylate cyclase in aortas of aged SHR",animal in-vivo,positive,,,guanylate cyclase; nitric oxide synthase
18175944,2008,sodium nitroprusside,drug,GBE,food,,,"Furthermore, GBE feeding did not affect contractile response to phenylephrine, relaxation responses to not only sodium nitroprusside but also acetylcholine, and protein levels of endothelium nitric oxide synthase and soluble guanylate cyclase in aortas of aged SHR",animal in-vivo,positive,,,guanylate cyclase; nitric oxide synthase
18175944,2008,phenylephrine,drug,Ginkgo biloba extract,food,,,"Furthermore, GBE feeding did not affect contractile response to phenylephrine, relaxation responses to not only sodium nitroprusside but also acetylcholine, and protein levels of endothelium nitric oxide synthase and soluble guanylate cyclase in aortas of aged SHR",animal in-vivo,positive,,,guanylate cyclase; nitric oxide synthase
18175944,2008,phenylephrine,drug,GBE,food,,,"Furthermore, GBE feeding did not affect contractile response to phenylephrine, relaxation responses to not only sodium nitroprusside but also acetylcholine, and protein levels of endothelium nitric oxide synthase and soluble guanylate cyclase in aortas of aged SHR",animal in-vivo,positive,,,guanylate cyclase; nitric oxide synthase
24055188,2013,etoposide,drug,Resveratrol,food,,,"In contrast to HepG2, resveratrol significantly enhanced anti-proliferative effects of etoposide in HCT-116 cells",in-vitro,positive,,,
24055188,2013,etoposide,drug,resveratrol,food,,,"In contrast to HepG2, resveratrol significantly enhanced anti-proliferative effects of etoposide in HCT-116 cells",in-vitro,positive,,,
28715867,2017,AlCl3,drug,VLP,food,,,"Treatment of AD-rats with VLP extract (100mg/kg body weight/day) improved neurobehavioral changes, as evidenced by the improvement in brain function, as well as, modulation of most biochemical markers, and confirmed by T-maze test, the histopathological study of the brain and comet assay.",animal in-vivo,positive,,,
