drugbank_id,drug_name,food_interaction_text,protein_type,protein_name,gene_name,actions
DB00001,Lepirudin,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include chamomile, garlic, ginger, ginkgo and ginseng.",target,Prothrombin,F2,inhibitor
DB00006,Bivalirudin,Avoid echinacea.,enzyme,Myeloperoxidase,MPO,inhibitor
DB00006,Bivalirudin,Avoid echinacea.,target,Prothrombin,F2,inhibitor
DB00008,Peginterferon alfa-2a,Drink plenty of fluids.,enzyme,Cytochrome P450 1A2,CYP1A2,inhibitor
DB00008,Peginterferon alfa-2a,Drink plenty of fluids.,target,Interferon alpha/beta receptor 2,IFNAR2,agonist
DB00008,Peginterferon alfa-2a,Drink plenty of fluids.,target,Interferon alpha/beta receptor 1,IFNAR1,agonist
DB00008,Peginterferon alfa-2a,Drink plenty of fluids.,target,Interferon alpha-2,IFNA2,modulator
DB00009,Alteplase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Plasminogen,PLG,activator
DB00009,Alteplase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Fibrinogen alpha chain,FGA,binder
DB00009,Alteplase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Fibrinogen gamma chain,FGG,binder
DB00009,Alteplase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Plasminogen activator inhibitor 1,SERPINE1,
DB00011,Interferon alfa-n1,Avoid alcohol.,enzyme,Cytochrome P450 1A2,CYP1A2,inhibitor
DB00011,Interferon alfa-n1,Avoid alcohol.,target,Interferon alpha/beta receptor 1,IFNAR1,agonist
DB00011,Interferon alfa-n1,Avoid alcohol.,target,Interferon alpha/beta receptor 2,IFNAR2,agonist
DB00012,Darbepoetin alfa,"Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.",target,Erythropoietin receptor,EPOR,agonist
DB00013,Urokinase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",enzyme,Macrophage metalloelastase,MMP12,substrate
DB00013,Urokinase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Plasminogen,PLG,activator
DB00013,Urokinase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Urokinase plasminogen activator surface receptor,PLAUR,"inducer, modulator"
DB00013,Urokinase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Plasminogen activator inhibitor 1,SERPINE1,"substrate, inducer"
DB00013,Urokinase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Plasminogen activator inhibitor 2,SERPINB2,"substrate, inducer"
DB00013,Urokinase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Urokinase-type plasminogen activator,PLAU,modulator
DB00013,Urokinase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Plasma serine protease inhibitor,SERPINA5,substrate
DB00013,Urokinase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Low-density lipoprotein receptor-related protein 2,LRP2,substrate
DB00013,Urokinase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Suppressor of tumorigenicity 14 protein,ST14,substrate
DB00013,Urokinase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Nidogen-1,NID1,ligand
DB00015,Reteplase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Plasminogen,PLG,activator
DB00015,Reteplase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Fibrinogen alpha chain,FGA,
DB00015,Reteplase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",target,Plasminogen activator inhibitor 1,SERPINE1,
DB00016,Erythropoietin,"Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.",target,Erythropoietin receptor,EPOR,agonist
DB00017,Salmon calcitonin,Administer calcium supplement. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should ingest at least 1000mg of elemental calcium daily (by food or through supplementation).,target,Calcitonin receptor,CALCR,agonist
DB00022,Peginterferon alfa-2b,Limit caffeine intake. Peginterferon alfa-2b can increase the serum levels of caffeine by inhibiting its metabolism through the CYP1A2 pathway.,enzyme,Cytochrome P450 1A2,CYP1A2,inhibitor
DB00022,Peginterferon alfa-2b,Limit caffeine intake. Peginterferon alfa-2b can increase the serum levels of caffeine by inhibiting its metabolism through the CYP1A2 pathway.,enzyme,Cytochrome P450 2D6,CYP2D6,inhibitor
DB00022,Peginterferon alfa-2b,Limit caffeine intake. Peginterferon alfa-2b can increase the serum levels of caffeine by inhibiting its metabolism through the CYP1A2 pathway.,enzyme,Cytochrome P450 2C9,CYP2C9,inducer
DB00022,Peginterferon alfa-2b,Limit caffeine intake. Peginterferon alfa-2b can increase the serum levels of caffeine by inhibiting its metabolism through the CYP1A2 pathway.,target,Interferon alpha/beta receptor 1,IFNAR1,agonist
DB00022,Peginterferon alfa-2b,Limit caffeine intake. Peginterferon alfa-2b can increase the serum levels of caffeine by inhibiting its metabolism through the CYP1A2 pathway.,target,Interferon alpha/beta receptor 2,IFNAR2,agonist
