drugbank_id,drug_name,food_interaction_text
DB00001,Lepirudin,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include chamomile, garlic, ginger, ginkgo and ginseng."
DB00006,Bivalirudin,Avoid echinacea.
DB00006,Bivalirudin,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00008,Peginterferon alfa-2a,Drink plenty of fluids.
DB00009,Alteplase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00011,Interferon alfa-n1,Avoid alcohol.
DB00012,Darbepoetin alfa,"Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent."
DB00013,Urokinase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00015,Reteplase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00016,Erythropoietin,"Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent."
DB00017,Salmon calcitonin,Administer calcium supplement. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should ingest at least 1000mg of elemental calcium daily (by food or through supplementation).
DB00017,Salmon calcitonin,Administer vitamin supplements. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should take at least 400 international units of vitamin D daily.
DB00022,Peginterferon alfa-2b,Limit caffeine intake. Peginterferon alfa-2b can increase the serum levels of caffeine by inhibiting its metabolism through the CYP1A2 pathway.
DB00029,Anistreplase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00030,Insulin human,Avoid alcohol. Alcohol may impair blood glucose control.
DB00031,Tenecteplase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00033,Interferon gamma-1b,"Avoid excessive or chronic alcohol consumption. Interferon gamma-1b may cause fatigue, drowsiness, and confusion. These effects may be exacerbated by alcohol consumption."
DB00034,Interferon alfa-2a,Avoid alcohol.
DB00054,Abciximab,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive antiplatelet activity may increase the risk of bleeding. Examples include ginseng, ginkgo, ginger, and garlic."
DB00055,Drotrecogin alfa,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00059,Pegaspargase,"Avoid excessive or chronic alcohol consumption. Alcohol and pegaspargase can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects."
DB00060,Interferon beta-1a,"Avoid excessive or chronic alcohol consumption. Alcohol and interferon beta-1a can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects."
DB00063,Eptifibatide,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. The use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00068,Interferon beta-1b,"Avoid excessive or chronic alcohol consumption. Alcohol and Interferon beta-1 can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects."
DB00071,Insulin pork,"Avoid excessive or chronic alcohol consumption. Drinking more than two standard drinks per day in women, or more than 3 standard drinks per day in men, can reduce a patient's insulin requirements, and therefore increase the risk of hypoglycemia if the insulin dosing is not adjusted."
DB00078,Ibritumomab tiuxetan,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00085,Pancrelipase,Drink plenty of fluids.
DB00085,Pancrelipase,Take with fluids.
DB00085,Pancrelipase,"Take with food. If swallowing the oral capsule is not tolerated, sprinkle on acidic soft foods with a pH of 4 or less."
DB00086,Streptokinase,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00091,Cyclosporine,Avoid grapefruit products.
DB00091,Cyclosporine,Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia.
DB00091,Cyclosporine,Avoid St. John's Wort.
DB00091,Cyclosporine,Take at the same time every day. Take consistently with regard to food.
DB00104,Octreotide,Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.
DB00104,Octreotide,Take with or without food. Octreotide injections may be taken with or without food.
DB00105,Interferon alfa-2b,Avoid alcohol.
DB00115,Cyanocobalamin,Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.
