drugbank_id,name,cation_sensitive,vka,maoi,k_sparing,acid_dependent,food_interaction_texts
DB00001,Lepirudin,1,1,0,0,0,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include chamomile, garlic, ginger, ginkgo and ginseng."
DB00006,Bivalirudin,1,1,0,0,0,"Avoid echinacea. | Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00009,Alteplase,1,1,0,0,0,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00012,Darbepoetin alfa,1,0,0,0,0,"Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent."
DB00013,Urokinase,1,1,0,0,0,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00015,Reteplase,1,1,0,0,0,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00016,Erythropoietin,1,0,0,0,0,"Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent."
DB00017,Salmon calcitonin,1,0,0,0,0,Administer calcium supplement. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should ingest at least 1000mg of elemental calcium daily (by food or through supplementation). | Administer vitamin supplements. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should take at least 400 international units of vitamin D daily.
DB00029,Anistreplase,1,1,0,0,0,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00031,Tenecteplase,1,1,0,0,0,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00054,Abciximab,1,1,0,0,0,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive antiplatelet activity may increase the risk of bleeding. Examples include ginseng, ginkgo, ginger, and garlic."
DB00055,Drotrecogin alfa,1,1,0,0,0,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00063,Eptifibatide,1,1,0,0,0,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. The use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00078,Ibritumomab tiuxetan,1,1,0,0,0,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00086,Streptokinase,1,1,0,0,0,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00091,Cyclosporine,0,0,0,1,0,Avoid grapefruit products. | Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia. | Avoid St. John's Wort. | Take at the same time every day. Take consistently with regard to food.
DB00126,Ascorbic acid,1,0,0,0,0,"Avoid multivalent ions. Do not infuse with elemental compounds that can be reduced, such as copper."
DB00177,Valsartan,0,0,0,1,0,"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent."
DB00178,Ramipril,0,0,0,1,0,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia. | Take with or without food. The absorption is unaffected by food.
DB00181,Baclofen,1,0,0,0,0,Avoid alcohol. | Take with food. Take with food or milk to reduce gastric irritation.
DB00188,Bortezomib,1,0,0,0,0,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of bortezomib. | Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of bortezomib. | Limit foods and supplements high in flavonoids. Flavonoids may interfere with the therapeutic action of this drug. Foods high in flavonoids include green vegetables, fruits, and green tea. | Limit foods and supplements high in vitamin C. Vitamin C may interfere with the therapeutic action of this drug. Foods high in vitamin C include citrus fruits and beverages."
DB00205,Pyrimethamine,1,0,0,0,0,Administer folic acid supplement. Folic acid need is increased. | Take with food. Food reduces irritation.
DB00214,Torasemide,0,0,0,1,0,Take with or without food. Food delays the Cmax by 30 minutes but does not impact efficacy.
DB00218,Moxifloxacin,1,0,0,0,0,Drink plenty of fluids. | Take with or without food.
DB00252,Phenytoin,1,0,0,0,1,Avoid alcohol. Alcohol may increase or decrease serum levels of phenytoin. | Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption. | Take with food. Food reduces irritation and increases bioavailability.
DB00254,Doxycycline,1,0,0,0,0,"Avoid multivalent ions. The absorption of tetracyclines is reduced when taken with foods, especially those which contain calcium. | Take with or without food. The absorption of tetracyclines is reduced when taken with foods, but not to a significant extent. If gastric irritation occurs, it is recommended that doxycycline be given with food or milk."
DB00256,Lymecycline,1,0,0,0,0,Take with or without food.
DB00258,Calcium acetate,1,0,0,0,0,"Take with food. When taken with food, calcium acetate forms an insoluble complex with the phosphorus from food, reducing phosphorus serum concentrations."
DB00266,Dicoumarol,1,1,0,0,0,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic."
DB00275,Olmesartan,0,0,0,1,0,Take with or without food. Food does not affect absorption.
DB00278,Argatroban,1,1,0,0,0,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba. | Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of argatroban; however, the evidence is conflicting. | Exercise caution with St. John's Wort."
DB00282,Pamidronic acid,1,0,0,0,0,
DB00294,Etonogestrel,1,0,0,0,0,Administer vitamin supplements. | Avoid alcohol. | Limit caffeine intake. | Take at the same time every day. | Take with food.
DB00313,Valproic acid,1,0,0,0,0,Avoid alcohol. | Avoid milk and dairy products. | Take with food.
DB00330,Ethambutol,1,0,0,0,1,Take separate from antacids. Do not take aluminum hydroxide containing antacids for at least 4 hours after ethambutol administration. | Take with food. Food reduces irritation.
DB00364,Sucralfate,1,0,0,0,1,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals. | Take separate from antacids. Take at least 30 minutes before or after antacids.
DB00365,Grepafloxacin,1,0,0,0,0,Avoid caffeine. | Drink plenty of fluids. | Take with or without food. The absorption is unaffected by food.
DB00384,Triamterene,1,0,0,1,0,Avoid potassium-containing products. The risk of hyperkalemia can be increased with the intake of potassium supplementation or potassium-rich foods.
DB00390,Digoxin,1,0,0,1,0,Avoid multivalent ions. Calcium and aluminum containing products (including kaolin-pectin) may interfere with absorption) and digoxin administration must be separated by several hours. | Avoid potassium-containing products. They may cause arrhythmias when given with digoxin. | Avoid St. John's Wort. This drug can decrease digoxin levels. | Do not take with bran and high fiber foods. Separate administration of bran and high fiber foods from medication by at least 2 hours.
DB00396,Progesterone,1,0,0,0,0,Administer vitamin supplements. | Avoid alcohol. | Limit caffeine intake. | Take at the same time every day. | Take with food.
DB00399,Zoledronic acid,1,0,0,0,0,
DB00407,Ardeparin,1,1,0,0,0,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic."
DB00420,Promazine,1,0,0,0,1,Avoid alcohol. Additive CNS depression may occur if alcohol is consumed. | Avoid antacids. The absorption of promazine may be reduced by antacid use.
DB00421,Spironolactone,1,0,0,1,0,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia. | Take with or without food. Food increases the bioavailability of spironolactone by approximately 95.4%. It should be taken at a consistent time in regards to food.
DB00424,Hyoscyamine,1,0,0,0,1,Take before a meal. Take 30-60 minutes before a meal. | Take separate from antacids. Take oral hyoscyamine before meals and antacids after meals.
DB00451,Levothyroxine,1,0,0,0,1,"Avoid calcium supplements/calcium rich foods. Calcium may interfere with the absorption of this drug by forming an insoluble complex. Separate medication administration by at least 4 hours. | Avoid grapefruit products. Grapefruit may delay the absorption of this medication. | Avoid iron supplements. Iron may interfere with the absorption of this drug by forming an insoluble complex. Separate medication administration by at least 4 hours. | Avoid multivalent ions. Examples include iron, magnesium, and calcium. These are often found in antacids, vitamins, and supplements - separate medication administration by at least 4 hours. | Do not take with bran and high fiber foods. Dietary fiber, soybean flour, cottonseed meal, and walnuts may reduce the absorption of levothyroxine. | Take on an empty stomach. Levothyroxine should be taken on an empty stomach 30-60 minutes prior to the first meal of the day."
DB00453,Clomocycline,1,0,0,0,0,
DB00458,Imipramine,0,0,0,0,1,Avoid alcohol. | Avoid St. John's Wort. | Do not take with bran and high fiber foods. | Limit caffeine intake. | Take with food.
DB00467,Enoxacin,1,0,0,0,0,
DB00476,Duloxetine,0,0,0,0,1,Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of liver toxicity. | Take with or without food. Do not sprinkle the contents of the capsules on food/liquids.
